TubeNo,ID
19986C,Temn_lute_parv
18367B,Temn_affi
3299B,Temn_affi
16013,Temn_affi
16146C,Temn_affi
18973E,Temn_affi
16076,Temn_affi
4195,Temn_affi
4224,Temn_unif
1738,Temn_unif
9902B,Temn_unif
4070,Temn_unif
4130,Temn_unif
14700,Temn_nyla
17323,Temn_nyla
16098,Temn_nyla
8585,Temn_nyla
2997,Temn_nyla
20497,Temn_nyla
17495,Temn_nyla
20716,Temn_nyla
17214,Temn_nyla
16287,Temn_nyla
10563,Temn_nyla
17309,Temn_nyla
17353,Temn_nyla
11770C,Temn_nyla
16431,Temn_nyla
5719,Temn_affi
9991527,Temn_affi
341,Temn_affi
5663,Temn_affi
5771,Temn_affi
18956,Temn_affi
5656,Temn_affi
2235,Temn_affi
5678,Temn_affi
12068C,Temn_affi
5702,Temn_affi
2048B,Temn_affi
5601,Temn_affi
12009,Temn_affi
5779,Temn_affi
15037F,Temn_nyla
16950B,Temn_inte
12596B,Temn_inte
5720,Temn_inte
5712B,Temn_lute_parv
17417,Temn_nigr
10474,Temn_nigr
9993310,Temn_nyla
9990409,Temn_nyla
9991679,Temn_nyla
9990737,Temn_nyla
9992328,Temn_nyla
9990868,Temn_nyla
9990239,Temn_nyla
9990047,Temn_nyla
16846,Temn_nyla
9992334,Temn_nyla
9990214,Temn_nyla
9991488,Temn_nyla
9992502,Temn_nyla
9992138,Temn_nyla
9991199,Temn_nyla
9993306,Temn_nyla
9991169,Temn_nyla
9991730,Temn_nyla
9991128,Temn_nyla
7643C,Temn_nyla
9991477,Temn_nyla
9990321,Temn_nyla
9991125,Temn_nyla
9991110,Temn_nyla
9991451,Temn_nyla
9992327,Temn_nyla
11210,Temn_nyla
9990333,Temn_nyla
9992314,Temn_nyla
9990889,Temn_nyla
9990584,Temn_nyla
9990799,Temn_nyla
2073,Temn_nyla
9990804,Temn_nyla
5640,Temn_nyla
17054,Temn_nyla
9990964,Temn_nyla
9990578,Temn_nyla
2077,Temn_nyla
9990942,Temn_nyla
9991073,Temn_nyla
9991531,Temn_nyla
16103,Temn_nyla
1985,Temn_nyla
3545,Temn_nyla
5666,Temn_nyla
1917,Temn_nyla
2047,Temn_nyla
5621,Temn_nyla
9992688,Temn_nyla
5629,Temn_nyla
9991270,Temn_nyla
2020,Temn_nyla
5560,Temn_nyla
10318,Temn_nyla
5553,Temn_nyla
5573,Temn_nyla
9992151,Temn_nyla
9990894,Temn_nyla
3197,Temn_nyla
9991382,Temn_nyla
12172,Temn_nyla
12344,Temn_nyla
16481B,Temn_nyla
9990583,Temn_nyla
6206B,Temn_nyla
17154,Temn_nyla
17077,Temn_nyla
9990966,Temn_nyla
9993093,Temn_nyla
9992333,Temn_nyla
9991640,Temn_nyla
9991755,Temn_nyla
9991692,Temn_nyla
9992695,Temn_nyla
9991845,Temn_nyla
12198,Temn_nyla
9992149,Temn_nyla
9990810,Temn_nyla
9991478,Temn_nyla
12668C,Temn_nyla
9993087,Temn_nyla
9991166,Temn_nyla
5675,Temn_nyla
9990286,Temn_nyla
9990761,Temn_nyla
9991717,Temn_nyla
5643,Temn_nyla
13878,Temn_nyla
5699,Temn_nyla
5583,Temn_nyla
9990747,Temn_lute_parv
2026,Temn_nyla
5753B,Temn_nyla
5522,Temn_nyla
9991765,Temn_nyla
5693,Temn_nyla
5766,Temn_tube
5752,Temn_tube
2172,Temn_unif
12587,Temn_unif
3774,Temn_unif
20197,Temn_unif
13038,Temn_unif
8397,Temn_unif
17457,Temn_unif
14380,Temn_unif
18942,Temn_unif
5978,Temn_unif
12412,Temn_unif
12992,Temn_unif
12582,Temn_unif
5787,Temn_unif
12873C,Temn_unif
1970,Temn_unif
2276,Temn_unif
9375,Temn_unif
5745,Temn_unif
